What is HTML?,Markup
Name a popular programming language.,Python
What does CSS stand for?,Style
Who developed Java?,Sun
What is SQL used for?,Databases
Define API.,Interface
What is Git used for?,Versioning
Name a web server software.,Apache
What does JVM stand for?,Machine
Define JSON.,Notation
What is Docker used for?,Containers
Name a NoSQL database.,MongoDB
What is HTTP?,Protocol
Define IDE.,Environment
What does URL stand for?,Locator
Name a software testing type.,Unit
What is UML?,Language
Define DNS.,System
Name a cloud computing service.,AWS
What is HTTPS used for?,Security
